month,group,client,store,cases_count,reward_ex,tax,reward_in,advance,grand_total
2026-05,トヨタ,愛知トヨタWEST(株),一宮店,63,268500,26850,295350,47250,342600
2026-05,トヨタ,愛知トヨタWEST(株),稲沢天池店,62,226500,22650,249150,64610,313760
2026-05,トヨタ,愛知トヨタWEST(株),江南店,42,165000,16500,181500,14550,196050
2026-05,トヨタ,愛知トヨタWEST(株),一宮三条店,26,140000,14000,154000,11500,165500
2026-05,トヨタ,愛知トヨタWEST(株),昭和橋店,31,127000,12700,139700,2300,142000
2026-05,トヨタ,愛知トヨタWEST(株),一宮開明店,28,111500,11150,122650,13900,136550
2026-05,トヨタ,愛知トヨタWEST(株),小牧村中店,19,76500,7650,84150,2300,86450
2026-05,トヨタ,愛知トヨタWEST(株),西店,13,71000,7100,78100,9000,87100
2026-05,トヨタ,愛知トヨタWEST(株),北名古屋店,13,58500,5850,64350,2400,66750
2026-05,トヨタ,愛知トヨタWEST(株),キャラット小牧店,10,50000,5000,55000,0,55000
2026-05,トヨタ,愛知トヨタWEST(株),稲沢おりづマイカー,7,35000,3500,38500,0,38500
2026-05,トヨタ,愛知トヨタWEST(株),小牧南インター店,4,23000,2300,25300,0,25300
2026-05,トヨタ,愛知トヨタWEST(株),蟹江店,3,21000,2100,23100,700,23800
2026-05,トヨタ,愛知トヨタWEST(株),北店,4,20000,2000,22000,0,22000
2026-05,トヨタ,愛知トヨタWEST(株),一宮インター店,2,19000,1900,20900,0,20900
2026-05,トヨタ,愛知トヨタWEST(株),津島店,2,10000,1000,11000,0,11000
2026-05,トヨタ,愛知トヨタWEST(株),小田井店,2,8500,850,9350,0,9350
2026-05,トヨタ,愛知トヨタWEST(株),西春店,1,7000,700,7700,0,7700
2026-06,トヨタ,愛知トヨタWEST(株),一宮店,122,470000,47000,517000,54120,571120
2026-06,トヨタ,愛知トヨタWEST(株),江南店,84,342000,34200,376200,17880,394080
2026-06,トヨタ,愛知トヨタWEST(株),稲沢天池店,78,311500,31150,342650,29260,371910
2026-06,トヨタ,愛知トヨタWEST(株),昭和橋店,47,228000,22800,250800,24770,275570
2026-06,トヨタ,愛知トヨタWEST(株),一宮開明店,47,179000,17900,196900,9880,206780
2026-06,トヨタ,愛知トヨタWEST(株),小牧村中店,32,156000,15600,171600,14500,186100
2026-06,トヨタ,愛知トヨタWEST(株),西店,23,115500,11550,127050,12630,139680
2026-06,トヨタ,愛知トヨタWEST(株),一宮三条店,29,114500,11450,125950,9950,135900
2026-06,トヨタ,愛知トヨタWEST(株),キャラット小牧店,19,95000,9500,104500,0,104500
2026-06,トヨタ,愛知トヨタWEST(株),小牧南インター店,20,82000,8200,90200,5590,95790
2026-06,トヨタ,愛知トヨタWEST(株),北名古屋店,14,55000,5500,60500,0,60500
2026-06,トヨタ,愛知トヨタWEST(株),稲沢おりづマイカー,10,52000,5200,57200,0,57200
2026-06,トヨタ,愛知トヨタWEST(株),一宮インター店,10,43000,4300,47300,12860,60160
2026-06,トヨタ,愛知トヨタWEST(株),西春店,4,33000,3300,36300,6900,43200
2026-06,トヨタ,愛知トヨタWEST(株),小田井店,4,26000,2600,28600,0,28600
2026-06,トヨタ,愛知トヨタWEST(株),北店,5,25000,2500,27500,0,27500
2026-06,トヨタ,愛知トヨタWEST(株),蟹江店,5,25000,2500,27500,0,27500
2026-06,トヨタ,愛知トヨタWEST(株),津島店,1,5000,500,5500,0,5500
2026-07,トヨタ,愛知トヨタWEST(株),一宮店,90,350000,35000,385000,55430,440430
2026-07,トヨタ,愛知トヨタWEST(株),稲沢天池店,74,286500,28650,315150,42530,357680
2026-07,トヨタ,愛知トヨタWEST(株),江南店,72,278000,27800,305800,9200,315000
2026-07,トヨタ,愛知トヨタWEST(株),一宮開明店,46,160500,16050,176550,43380,219930
2026-07,トヨタ,愛知トヨタWEST(株),昭和橋店,29,137500,13750,151250,16020,167270
2026-07,トヨタ,愛知トヨタWEST(株),一宮三条店,32,127500,12750,140250,9200,149450
2026-07,トヨタ,愛知トヨタWEST(株),小田井店,27,119500,11950,131450,6900,138350
2026-07,トヨタ,愛知トヨタWEST(株),西店,24,106000,10600,116600,9200,125800
2026-07,トヨタ,愛知トヨタWEST(株),キャラット小牧店,19,95000,9500,104500,0,104500
2026-07,トヨタ,愛知トヨタWEST(株),小牧南インター店,20,87000,8700,95700,8480,104180
2026-07,トヨタ,愛知トヨタWEST(株),西春店,17,68000,6800,74800,6900,81700
2026-07,トヨタ,愛知トヨタWEST(株),北名古屋店,14,60000,6000,66000,4600,70600
2026-07,トヨタ,愛知トヨタWEST(株),小牧村中店,13,52500,5250,57750,2300,60050
2026-07,トヨタ,愛知トヨタWEST(株),一宮インター店,12,46000,4600,50600,16290,66890
2026-07,トヨタ,愛知トヨタWEST(株),稲沢おりづマイカー,8,40000,4000,44000,0,44000
2026-07,トヨタ,愛知トヨタWEST(株),蟹江店,3,18000,1800,19800,0,19800
2026-07,トヨタ,愛知トヨタWEST(株),津島店,3,15000,1500,16500,0,16500
2026-07,トヨタ,愛知トヨタWEST(株),北店,3,15000,1500,16500,0,16500
2026-07,トヨタ,愛知トヨタWEST(株),桜井店,1,5000,500,5500,0,5500
2026-07,三菱,三菱ふそうトラック・バス(株),小牧支店,25,158000,15800,173800,97036,270836
2026-07,三菱,三菱ふそうトラック・バス(株),岐阜支店,4,27000,2700,29700,9500,39200
2026-07,日産,日産愛知販売(株),松降店,22,129364,12936,142300,93170,235470
