"取引No","取引日","借方勘定科目","借方補助科目","借方部門","借方取引先","借方税区分","借方インボイス","借方金額(円)","貸方勘定科目","貸方補助科目","貸方部門","貸方取引先","貸方税区分","貸方インボイス","貸方金額(円)","摘要","タグ","メモ"
"2","2026/08/04","普通預金","","","","対象外","","500000","資本金","","","","対象外","","500000","振込*ヨシムラ ユウスケ","",""
"5","2026/08/05","普通預金","","","","対象外","","500000","資本金","","","","対象外","","500000","","","日栄先生"
"9","2026/08/07","開業費","","","","課税仕入 10%","","6400","役員借入金","","","","対象外","","6400","宣伝広告費
名刺","",""
"1","2026/08/08","開業費","","","","課税仕入 10%","","2500","役員借入金","","","","対象外","","2500","振込*アイチケンギヨウセイシヨシカイ 8/3","",""
"3","2026/08/08","開業費","","","","課税仕入 10%","","520","役員借入金","","","","対象外","","520","ザイムシヨウカイケイセンター (12026080514091387702) 8/5","",""
"4","2026/08/08","創立費","","","","対象外","","566","役員借入金","","","","対象外","","566","【備品・消耗品費】 株式会社つちや 7/13","",""
"6","2026/08/08","創立費","","","","対象外","","885","役員借入金","","","","対象外","","885","【備品・消耗品費】 ダイソー 7/31","",""
"7","2026/08/08","創立費","","","","対象外","","3981","役員借入金","","","","対象外","","3981","【備品・消耗品費】 株式会社つちや 7/31","",""
"8","2026/08/08","創立費","","","","対象外","","5680","役員借入金","","","","対象外","","5680","【備品・消耗品費】 株式会社ウィズアス 6/30","",""
"10","2026/08/08","開業費","","","","課税仕入 10%","","1600","役員借入金","","","","対象外","","1600","宣伝広告費
名刺","",""
"12","2026/08/08","創立費","","","","対象外","","39550","役員借入金","","","","対象外","","39550","【備品・消耗品費】 株式会社Sirusi 7/21","",""
"13","2026/08/08","創立費","","","","対象外","","5832","役員借入金","","","","対象外","","5832","【接待交際費】 Ms RELIER 7/2","",""
"14","2026/08/08","創立費","","","","対象外","","2500","役員借入金","","","","対象外","","2500","【福利厚生費】 森(友) 7/30","",""
"15","2026/08/08","創立費","","","","対象外","","9060","役員借入金","","","","対象外","","9060","【接待交際費】 茶 ゆますみえん 7/2","",""
"16","2026/08/08","創立費","","","","対象外","","2000","役員借入金","","","","対象外","","2000","【研修採用費】 日本行政書士会連合会長 7/7","",""
"17","2026/08/08","創立費","","","","対象外","","27273","役員借入金","","","","対象外","","27273","【研修採用費】 日本行政書士会連合会 7/27","",""
"18","2026/08/08","創立費","","","","対象外","","3510","役員借入金","","","","対象外","","3510","【接待交際費】 イオンリテール株式会社 6/27","",""
"19","2026/08/08","創立費","","","","対象外","","4000","役員借入金","","","","対象外","","4000","【研修採用費】 愛知県行政書士会 6/29","",""
"20","2026/08/08","創立費","","","","対象外","","9096","役員借入金","","","","対象外","","9096","【備品・消耗品費】 株式会社ティズプラス 6/9","",""
