取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要
1,2026/07/21,創立費,,,,課税仕入 10%,適格,39550,3595,役員借入金,,,,対象外,,39550,0,【備品・消耗品費】 株式会社Sirusi
2,2026/06/27,創立費,,,,課税仕入 10%,適格,3510,319,役員借入金,,,,対象外,,3510,0,【接待交際費】 イオンリテール株式会社
3,2026/07/02,創立費,,,,課税仕入 10%,適格,5832,530,役員借入金,,,,対象外,,5832,0,【接待交際費】 M's RELIER
4,2026/07/13,創立費,,,,課税仕入 10%,適格,566,51,役員借入金,,,,対象外,,566,0,【備品・消耗品費】 株式会社つちや
5,2026/07/30,創立費,,,,課税仕入 10%,適格,2500,227,役員借入金,,,,対象外,,2500,0,【福利厚生費】 森(友)
6,2026/07/31,創立費,,,,課税仕入 10%,適格,885,80,役員借入金,,,,対象外,,885,0,【備品・消耗品費】 ダイソー
7,2026/07/31,創立費,,,,課税仕入 10%,適格,3981,361,役員借入金,,,,対象外,,3981,0,【備品・消耗品費】 株式会社つちや
8,2026/06/30,創立費,,,,課税仕入 10%,適格,5680,516,役員借入金,,,,対象外,,5680,0,【備品・消耗品費】 株式会社ウィズアス
9,2026/07/02,創立費,,,,課税仕入 10%,適格,9060,823,役員借入金,,,,対象外,,9060,0,【接待交際費】 茶 ゆますみえん
10,2026/06/29,創立費,,,,課税仕入 10%,80%控除,4000,363,役員借入金,,,,対象外,,4000,0,【研修採用費】 愛知県行政書士会
11,2026/06/09,創立費,,,,課税仕入 10%,適格,9096,826,役員借入金,,,,対象外,,9096,0,【備品・消耗品費】 株式会社ティズプラス
12,2026/07/07,創立費,,,,課税仕入 10%,80%控除,2000,181,役員借入金,,,,対象外,,2000,0,【研修採用費】 日本行政書士会連合会長
13,2026/07/27,創立費,,,,課税仕入 10%,適格,27273,2727,役員借入金,,,,対象外,,27273,0,【研修採用費】 日本行政書士会連合会
14,2026/06/16,創立費,,,,課税仕入 10%,適格,1180,107,役員借入金,,,,対象外,,1180,0,【広告宣伝費】 Canva
15,2026/06/20,創立費,,,,課税仕入 10%,適格,1980,180,役員借入金,,,,対象外,,1980,0,【通信費】 Tokyoo! Japan 有限会社
16,2026/06/30,創立費,,,,課税仕入 10%,適格,4180,380,役員借入金,,,,対象外,,4180,0,【通信費】 Google Asia Pacific Pte. Ltd.
17,2026/06/26,創立費,,,,課税仕入 10%,適格,1481,134,役員借入金,,,,対象外,,1481,0,【通信費】 株式会社グラントン
